tsId;databaseName;timeseriesUnit;raster

iw_waermemenge_vd_heizen_tag;StiebelEltronHeatPumpRawDatasTest;kWH;PT15S
iw_waermemenge_vd_heizen_summe;StiebelEltronHeatPumpRawDatasTest;mWH;PT15S
iw_waermemenge_nhz_heizen_summe;StiebelEltronHeatPumpRawDatasTest;mWH;PT15S
iw_leistungsaufnahme_vd_heizen_tag;StiebelEltronHeatPumpRawDatasTest;kWH;PT15S
iw_leistungsaufnahme_vd_heizen_summe;StiebelEltronHeatPumpRawDatasTest;mWH;PT15S
iw_vd_heizen;StiebelEltronHeatPumpRawDatasTest;STUNDEN;PT15S
iw_vd_kühlen;StiebelEltronHeatPumpRawDatasTest;STUNDEN;PT15S
iw_nhz_1;StiebelEltronHeatPumpRawDatasTest;STUNDEN;PT15S
iw_nhz_2;StiebelEltronHeatPumpRawDatasTest;STUNDEN;PT15S
iw_nhz_1_durch_2;StiebelEltronHeatPumpRawDatasTest;STUNDEN;PT15S
iw_verdichter;StiebelEltronHeatPumpRawDatasTest;ANZAHL;PT15S

ia_aussentemperatur;StiebelEltronHeatPumpRawDatasTest;GRADCELCIUS;PT15S
ia_isttemperatur_hk_1;StiebelEltronHeatPumpRawDatasTest;GRADCELCIUS;PT15S
ia_solltemperatur_hk_1;StiebelEltronHeatPumpRawDatasTest;GRADCELCIUS;PT15S
ia_vorlaufisttemperatur_wp;StiebelEltronHeatPumpRawDatasTest;GRADCELCIUS;PT15S
ia_vorlaufisttemperatur_nhz;StiebelEltronHeatPumpRawDatasTest;GRADCELCIUS;PT15S
ia_rücklaufisttemperatur;StiebelEltronHeatPumpRawDatasTest;GRADCELCIUS;PT15S
ia_pufferisttemperatur;StiebelEltronHeatPumpRawDatasTest;GRADCELCIUS;PT15S
ia_puffersolltemperatur;StiebelEltronHeatPumpRawDatasTest;GRADCELCIUS;PT15S
ia_heizungsdruck;StiebelEltronHeatPumpRawDatasTest;BAR;PT15S
ia_volumenstrom;StiebelEltronHeatPumpRawDatasTest;LITERPROMINUTE;PT15S
ia_anlagenfrost;StiebelEltronHeatPumpRawDatasTest;GRADCELCIUS;PT15S
ia_isttemperatur_fek;StiebelEltronHeatPumpRawDatasTest;GRADCELCIUS;PT15S
ia_solltemperatur_fek;StiebelEltronHeatPumpRawDatasTest;GRADCELCIUS;PT15S
ia_raumfeuchte;StiebelEltronHeatPumpRawDatasTest;PROZENT;PT15S
ia_taupunkttemperatur;StiebelEltronHeatPumpRawDatasTest;GRADCELCIUS;PT15S
ia_solltemperatur_gebläse;StiebelEltronHeatPumpRawDatasTest;GRADCELCIUS;PT15S
ia_quellentemperatur;StiebelEltronHeatPumpRawDatasTest;GRADCELCIUS;PT15S
ia_quellendruck;StiebelEltronHeatPumpRawDatasTest;BAR;PT15S
ia_isttemperatur_gebläse;StiebelEltronHeatPumpRawDatasTest;GRADCELCIUS;PT15S
ia_isttemperatur_fläche;StiebelEltronHeatPumpRawDatasTest;GRADCELCIUS;PT15S
ia_solltemperatur_fläche;StiebelEltronHeatPumpRawDatasTest;GRADCELCIUS;PT15S

da_heizkreis_1_pumpe;StiebelEltronHeatPumpRawDatasTest;STATUS;PT15S
da_heizen;StiebelEltronHeatPumpRawDatasTest;STATUS;PT15S
da_verdichter;StiebelEltronHeatPumpRawDatasTest;STATUS;PT15S
da_heizkreispumpe;StiebelEltronHeatPumpRawDatasTest;STATUS;PT15S
da_quellenpumpe;StiebelEltronHeatPumpRawDatasTest;STATUS;PT15S
da_pufferladepumpe;StiebelEltronHeatPumpRawDatasTest;STATUS;PT15S
da_verdichterschuetz;StiebelEltronHeatPumpRawDatasTest;STATUS;PT15S
da_reststillstand;StiebelEltronHeatPumpRawDatasTest;MINUTEN;PT15S

ds_wpm_3i;StiebelEltronHeatPumpRawDatasTest;STATUS;PT15S
ds_software;StiebelEltronHeatPumpRawDatasTest;VERSION;PT15S
ds_sg_ready;StiebelEltronHeatPumpRawDatasTest;STATUS;PT15S
ds_hauptversionsnummer;StiebelEltronHeatPumpRawDatasTest;VERSION;PT15S
ds_nebenversionsnummer;StiebelEltronHeatPumpRawDatasTest;VERSION;PT15S
ds_revisionsnummer;StiebelEltronHeatPumpRawDatasTest;VERSION;PT15S
ds_ok;StiebelEltronHeatPumpRawDatasTest;STATUS;PT15S


iw_waermemenge_vd_heizen_tag;StiebelEltronHeatPumpCorrectedDatasTest;kWH;PT15S
iw_waermemenge_vd_heizen_summe;StiebelEltronHeatPumpCorrectedDatasTest;mWH;PT15S
iw_waermemenge_nhz_heizen_summe;StiebelEltronHeatPumpCorrectedDatasTest;mWH;PT15S
iw_leistungsaufnahme_vd_heizen_tag;StiebelEltronHeatPumpCorrectedDatasTest;kWH;PT15S
iw_leistungsaufnahme_vd_heizen_summe;StiebelEltronHeatPumpCorrectedDatasTest;mWH;PT15S
iw_vd_heizen;StiebelEltronHeatPumpCorrectedDatasTest;STUNDEN;PT15S
iw_vd_kühlen;StiebelEltronHeatPumpCorrectedDatasTest;STUNDEN;PT15S
iw_nhz_1;StiebelEltronHeatPumpCorrectedDatasTest;STUNDEN;PT15S
iw_nhz_2;StiebelEltronHeatPumpCorrectedDatasTest;STUNDEN;PT15S
iw_nhz_1_durch_2;StiebelEltronHeatPumpCorrectedDatasTest;STUNDEN;PT15S
iw_verdichter;StiebelEltronHeatPumpCorrectedDatasTest;ANZAHL;PT15S

ia_aussentemperatur;StiebelEltronHeatPumpCorrectedDatasTest;GRADCELCIUS;PT15S
ia_isttemperatur_hk_1;StiebelEltronHeatPumpCorrectedDatasTest;GRADCELCIUS;PT15S
ia_solltemperatur_hk_1;StiebelEltronHeatPumpCorrectedDatasTest;GRADCELCIUS;PT15S
ia_vorlaufisttemperatur_wp;StiebelEltronHeatPumpCorrectedDatasTest;GRADCELCIUS;PT15S
ia_vorlaufisttemperatur_nhz;StiebelEltronHeatPumpCorrectedDatasTest;GRADCELCIUS;PT15S
ia_rücklaufisttemperatur;StiebelEltronHeatPumpCorrectedDatasTest;GRADCELCIUS;PT15S
ia_pufferisttemperatur;StiebelEltronHeatPumpCorrectedDatasTest;GRADCELCIUS;PT15S
ia_puffersolltemperatur;StiebelEltronHeatPumpCorrectedDatasTest;GRADCELCIUS;PT15S
ia_heizungsdruck;StiebelEltronHeatPumpCorrectedDatasTest;BAR;PT15S
ia_volumenstrom;StiebelEltronHeatPumpCorrectedDatasTest;LITERPROMINUTE;PT15S
ia_anlagenfrost;StiebelEltronHeatPumpCorrectedDatasTest;GRADCELCIUS;PT15S
ia_isttemperatur_fek;StiebelEltronHeatPumpCorrectedDatasTest;GRADCELCIUS;PT15S
ia_solltemperatur_fek;StiebelEltronHeatPumpCorrectedDatasTest;GRADCELCIUS;PT15S
ia_raumfeuchte;StiebelEltronHeatPumpCorrectedDatasTest;PROZENT;PT15S
ia_taupunkttemperatur;StiebelEltronHeatPumpCorrectedDatasTest;GRADCELCIUS;PT15S
ia_solltemperatur_gebläse;StiebelEltronHeatPumpCorrectedDatasTest;GRADCELCIUS;PT15S
ia_quellentemperatur;StiebelEltronHeatPumpCorrectedDatasTest;GRADCELCIUS;PT15S
ia_quellendruck;StiebelEltronHeatPumpCorrectedDatasTest;BAR;PT15S
ia_isttemperatur_gebläse;StiebelEltronHeatPumpCorrectedDatasTest;GRADCELCIUS;PT15S
ia_isttemperatur_fläche;StiebelEltronHeatPumpCorrectedDatasTest;GRADCELCIUS;PT15S
ia_solltemperatur_fläche;StiebelEltronHeatPumpCorrectedDatasTest;GRADCELCIUS;PT15S

da_heizkreis_1_pumpe;StiebelEltronHeatPumpCorrectedDatasTest;STATUS;PT15S
da_heizen;StiebelEltronHeatPumpCorrectedDatasTest;STATUS;PT15S
da_verdichter;StiebelEltronHeatPumpCorrectedDatasTest;STATUS;PT15S
da_heizkreispumpe;StiebelEltronHeatPumpCorrectedDatasTest;STATUS;PT15S
da_quellenpumpe;StiebelEltronHeatPumpCorrectedDatasTest;STATUS;PT15S
da_pufferladepumpe;StiebelEltronHeatPumpCorrectedDatasTest;STATUS;PT15S
da_verdichterschuetz;StiebelEltronHeatPumpCorrectedDatasTest;STATUS;PT15S
da_reststillstand;StiebelEltronHeatPumpCorrectedDatasTest;MINUTEN;PT15S

ds_wpm_3i;StiebelEltronHeatPumpCorrectedDatasTest;STATUS;PT15S
ds_software;StiebelEltronHeatPumpCorrectedDatasTest;VERSION;PT15S
ds_sg_ready;StiebelEltronHeatPumpCorrectedDatasTest;STATUS;PT15S
ds_hauptversionsnummer;StiebelEltronHeatPumpCorrectedDatasTest;VERSION;PT15S
ds_nebenversionsnummer;StiebelEltronHeatPumpCorrectedDatasTest;VERSION;PT15S
ds_revisionsnummer;StiebelEltronHeatPumpCorrectedDatasTest;VERSION;PT15S
ds_ok;StiebelEltronHeatPumpCorrectedDatasTest;STATUS;PT15S